NM;TIN;VDNM;LICNUM;LICBEG;LICEND
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ПИВОВАРНЯ ""НАШЕ ПИВО""";37158833;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;990210202100034;08.12.2021;08.12.2026
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВIДПОВIДАЛЬНIСТЮ ""СЕМЕНІВСЬКА БРОВАРНЯ""";44132740;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;990210202100035;14.12.2021;14.12.2026
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ЕКСТРАКОМ""";33316882;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;990210202200001;27.01.2022;27.01.2027
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ТРІАЛ""";31040090;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;990210202200002;01.02.2022;01.02.2027
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""БІРЛЮКС МАЙСТЕР""";37657928;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;990210202200003;03.02.2022;03.02.2027
"ПРИВАТНЕ ПIДПРИЄМСТВО ""ДОНАРТ""";35715715;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;990210202200004;27.01.2022;27.01.2027
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВIДПОВIДАЛЬНIСТЮ ""ЕЛІТЕКО""";38503379;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;990210202200005;20.01.2022;20.01.2027
ФІЗИЧНА ОСОБА - ПІДПРИЄМЕЦЬ ДОБРОВОДСЬКИЙ ВОЛОДИМИР СТЕПАНОВИЧ;***********;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;990210202200006;08.02.2022;08.02.2027
"ПРИВАТНЕ ПIДПРИЄМСТВО ""КОУРОС""";31790521;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;990210202200007;25.01.2022;25.01.2027
ФІЗИЧНА ОСОБА - ПІДПРИЄМЕЦЬ ЛИХОЛАТ МИКОЛА АНАТОЛІЙОВИЧ;***********;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;990210202200008;01.02.2022;01.02.2027
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""КРАФТОВЕ ПИВО""";40303290;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;990210202200009;08.02.2022;08.02.2027
"ПРИВАТНЕ ПІДПРИЄМСТВО ""ЯГЕР ІФ""";30610396;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;990210202200010;27.01.2022;27.01.2027
ФІЗИЧНА ОСОБА - ПІДПРИЄМЕЦЬ КОСЯКОВ ОЛЕГ ВАЛЕНТИНОВИЧ;***********;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;990210202200011;08.02.2022;08.02.2027
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВIДПОВIДАЛЬНIСТЮ ""ГАЛИЦЬКИЙ БРОВАР""";39151227;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;990210202200012;04.02.2022;04.02.2027
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ПРЕМІУМ-БАР""";35875619;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;990210202200014;07.02.2022;07.02.2027
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВIДПОВIДАЛЬНIСТЮ ""ХМІЛЬНИЙ ЛЕВ""";38940727;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;990210202200015;16.02.2022;16.02.2027
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ТОРГПРОДУНІВЕРСАЛ-2""";43582159;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;990210202200016;11.02.2022;11.02.2027
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ВОЛИНСЬКИЙ БРОВАР""";34254691;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;990210202200018;16.02.2022;16.02.2027
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ДОГОДА""";39802036;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;990210202200021;21.02.2022;21.02.2027
